"ID";"LorriesAndRoadTractors";"YearsOfConstruction";"Periods";"TotalKilometresInTheNetherlands_1";"KilometresByDutchVehicles_2";"KilometresByForeignVehicles_3";"TotalKilometresByDutchVehicles_4";"KilometresInTheNetherlands_5";"KilometresAbroad_6";"TotalAverageAnnualKilometres_7";"AverageAnnualKilometresInNetherlands_8";"AverageAnnualKilometresAbroad_9";"DutchGoodsVehiclesInUse_10"
"0";"A018938";"T001378";"2001JJ00";"  6592.1";"  6014.7";"   577.5";"  9869.7";"  6014.7";"  3855.1";"   58913";"   35902";"   23011";"  167530"
"1";"A018938";"T001378";"2002JJ00";"  6600.8";"  5999.6";"   601.1";"  9973.7";"  5999.6";"  3974.1";"   59846";"   36000";"   23846";"  166657"
"2";"A018938";"T001378";"2003JJ00";"  6610.0";"  6025.4";"   584.6";" 10026.9";"  6025.4";"  4001.5";"   61150";"   36746";"   24403";"  163974"
"3";"A018938";"T001378";"2004JJ00";"  6684.5";"  6060.0";"   624.5";" 10070.7";"  6060.0";"  4010.7";"   61637";"   37090";"   24547";"  163387"
"4";"A018938";"T001378";"2005JJ00";"  6797.2";"  6128.7";"   668.5";" 10181.2";"  6128.7";"  4052.5";"   62792";"   37798";"   24994";"  162142"
"5";"A018938";"T001378";"2006JJ00";"  6946.0";"  6198.8";"   747.3";" 10325.4";"  6198.8";"  4126.7";"   61758";"   37076";"   24682";"  167192"
"6";"A018938";"T001378";"2007JJ00";"  7137.9";"  6319.1";"   818.9";" 10544.7";"  6319.1";"  4225.7";"   62303";"   37336";"   24967";"  169249"
"7";"A018938";"T001378";"2008JJ00";"  7313.7";"  6514.7";"   799.0";" 10507.1";"  6514.7";"  3992.5";"   60715";"   37644";"   23070";"  173058"
"8";"A018938";"T001378";"2009JJ00";"  7227.6";"  6468.3";"   759.3";" 10132.5";"  6468.3";"  3664.2";"   59234";"   37813";"   21421";"  171059"
"9";"A018938";"T001378";"2010JJ00";"  7192.9";"  6483.7";"   709.2";"  9801.3";"  6483.7";"  3317.7";"   59093";"   39090";"   20002";"  165864"
"10";"A018938";"T001378";"2011JJ00";"  7113.2";"  6422.6";"   690.6";"  9825.5";"  6422.6";"  3402.9";"   59703";"   39026";"   20677";"  164573"
"11";"A018938";"T001378";"2012JJ00";"  7007.8";"  6323.2";"   684.6";"  9529.8";"  6323.2";"  3206.5";"   58752";"   38984";"   19769";"  162202"
"12";"A018938";"T001378";"2013JJ00";"  6617.4";"  5920.8";"   696.6";"  9299.5";"  5920.8";"  3378.7";"   57910";"   36870";"   21040";"  160585"
"13";"A018938";"T001378";"2014JJ00";"  6620.1";"  5905.7";"   714.4";"  9208.7";"  5905.7";"  3303.0";"   58982";"   37826";"   21156";"  156128"
"14";"A018938";"T001378";"2015JJ00";"  6923.4";"  6166.8";"   756.6";"  9213.4";"  6166.8";"  3046.6";"   58776";"   39340";"   19435";"  156756"
"15";"A018938";"T001378";"2016JJ00";"  7330.9";"  6499.2";"   831.8";"  9362.6";"  6499.2";"  2863.4";"   58847";"   40850";"   17998";"  159099"
"16";"A018938";"T001378";"2017JJ00";"  7436.1";"  6553.6";"   882.5";"  9419.0";"  6553.6";"  2865.4";"   58222";"   40510";"   17712";"  161777"
"17";"A018938";"T001378";"2018JJ00";"  7393.8";"  6495.3";"   898.5";"  9416.7";"  6495.3";"  2921.4";"   56656";"   39079";"   17577";"  166209"
"18";"A018938";"A048264";"2001JJ00";"  5199.2";"  4802.5";"   396.7";"  7450.9";"  4802.5";"  2648.4";"   54868";"   35366";"   19503";"  135796"
"19";"A018938";"A048264";"2002JJ00";"  4278.0";"  3972.9";"   305.2";"  5990.3";"  3972.9";"  2017.4";"   49196";"   32628";"   16568";"  121765"
"20";"A018938";"A048264";"2003JJ00";"  3566.4";"  3340.6";"   225.8";"  4886.2";"  3340.6";"  1545.6";"   45611";"   31183";"   14428";"  107128"
"21";"A018938";"A048264";"2004JJ00";"  2927.2";"  2751.7";"   175.5";"  3879.0";"  2751.7";"  1127.3";"   41251";"   29262";"   11988";"   94035"
"22";"A018938";"A048264";"2005JJ00";"  2381.6";"  2248.5";"   133.1";"  3055.5";"  2248.5";"   807.0";"   37798";"   27815";"    9982";"   80838"
"23";"A018938";"A048264";"2006JJ00";"  1894.3";"  1793.0";"   101.3";"  2352.6";"  1793.0";"   559.6";"   33753";"   25724";"    8029";"   69700"
"24";"A018938";"A048264";"2007JJ00";"  1492.5";"  1422.0";"    70.6";"  1786.1";"  1422.0";"   364.1";"   29564";"   23537";"    6027";"   60414"
"25";"A018938";"A048264";"2008JJ00";"  1193.5";"  1145.8";"    47.8";"  1384.4";"  1145.8";"   238.7";"   26331";"   21791";"    4540";"   52579"
"26";"A018938";"A048264";"2009JJ00";"   817.3";"   788.6";"    28.8";"   927.4";"   788.6";"   138.8";"   20580";"   17499";"    3080";"   45063"
"27";"A018938";"A048264";"2010JJ00";"   574.6";"   558.8";"    15.7";"   632.4";"   558.8";"    73.6";"   16386";"   14479";"    1907";"   38595"
"28";"A018938";"A048264";"2011JJ00";"   432.5";"   417.4";"    15.1";"   492.0";"   417.4";"    74.6";"   14776";"   12535";"    2241";"   33298"
"29";"A018938";"A048264";"2012JJ00";"   318.5";"   306.1";"    12.5";"   364.5";"   306.1";"    58.4";"   12559";"   10546";"    2014";"   29023"
"30";"A018938";"A048264";"2013JJ00";"   231.8";"   220.7";"    11.1";"   274.6";"   220.7";"    53.9";"   10761";"    8648";"    2113";"   25516"
"31";"A018938";"A048264";"2014JJ00";"   177.8";"   167.5";"    10.3";"   215.1";"   167.5";"    47.5";"    9457";"    7367";"    2090";"   22743"
"32";"A018938";"A048264";"2015JJ00";"   144.0";"   136.3";"     7.7";"   167.2";"   136.3";"    31.0";"    8394";"    6839";"    1555";"   19925"
"33";"A018938";"A048264";"2016JJ00";"   120.9";"   113.6";"     7.3";"   138.8";"   113.6";"    25.2";"    7717";"    6317";"    1401";"   17984"
"34";"A018938";"A048264";"2017JJ00";"   102.7";"    97.0";"     5.7";"   115.6";"    97.0";"    18.6";"    6952";"    5833";"    1119";"   16624"
"35";"A018938";"A048264";"2018JJ00";"    81.2";"    76.9";"     4.4";"    91.1";"    76.9";"    14.2";"    5891";"    4973";"     918";"   15458"
"36";"A018938";"A048265";"2001JJ00";"  1392.9";"  1212.2";"   180.8";"  2418.8";"  1212.2";"  1206.7";"   76222";"   38197";"   38024";"   31734"
"37";"A018938";"A048265";"2002JJ00";"  2322.7";"  2026.7";"   296.0";"  3983.4";"  2026.7";"  1956.7";"   88733";"   45147";"   43586";"   44892"
"38";"A018938";"A048265";"2003JJ00";"  3043.6";"  2684.8";"   358.8";"  5140.7";"  2684.8";"  2455.9";"   90432";"   47229";"   43203";"   56846"
"39";"A018938";"A048265";"2004JJ00";"  3757.3";"  3308.3";"   449.0";"  6191.7";"  3308.3";"  2883.3";"   89279";"   47703";"   41576";"   69352"
"40";"A018938";"A048265";"2005JJ00";"  3970.4";"  3504.1";"   466.3";"  6331.0";"  3504.1";"  2826.9";"   93290";"   51635";"   41656";"   67863"
"41";"A018938";"A048265";"2006JJ00";"  3760.9";"  3333.3";"   427.6";"  5694.7";"  3333.3";"  2361.4";"   87058";"   50958";"   36100";"   65412"
"42";"A018938";"A048265";"2007JJ00";"  3395.7";"  3034.4";"   361.3";"  4898.6";"  3034.4";"  1864.2";"   79927";"   49510";"   30417";"   61289"
"43";"A018938";"A048265";"2008JJ00";"  2913.5";"  2640.2";"   273.3";"  4005.9";"  2640.2";"  1365.8";"   70645";"   46560";"   24085";"   56705"
"44";"A018938";"A048265";"2009JJ00";"  2412.7";"  2209.1";"   203.6";"  3191.5";"  2209.1";"   982.4";"   61268";"   42409";"   18859";"   52091"
"45";"A018938";"A048265";"2010JJ00";"  1938.9";"  1801.6";"   137.3";"  2444.0";"  1801.6";"   642.3";"   54763";"   40370";"   14393";"   44628"
"46";"A018938";"A048265";"2011JJ00";"  1528.2";"  1429.3";"    98.9";"  1916.7";"  1429.3";"   487.3";"   50136";"   37388";"   12748";"   38230"
"47";"A018938";"A048265";"2012JJ00";"  1133.2";"  1064.9";"    68.3";"  1385.0";"  1064.9";"   320.1";"   42546";"   32713";"    9833";"   32552"
"48";"A018938";"A048265";"2013JJ00";"   793.2";"   740.6";"    52.6";"   995.7";"   740.6";"   255.1";"   36794";"   27366";"    9428";"   27062"
"49";"A018938";"A048265";"2014JJ00";"   569.1";"   529.0";"    40.1";"   714.3";"   529.0";"   185.3";"   31813";"   23561";"    8252";"   22452"
"50";"A018938";"A048265";"2015JJ00";"   445.5";"   416.6";"    28.9";"   533.1";"   416.6";"   116.4";"   27710";"   21658";"    6052";"   19237"
"51";"A018938";"A048265";"2016JJ00";"   342.6";"   317.0";"    25.6";"   405.0";"   317.0";"    88.0";"   24282";"   19007";"    5275";"   16679"
"52";"A018938";"A048265";"2017JJ00";"   258.4";"   239.5";"    18.9";"   300.8";"   239.5";"    61.2";"   20465";"   16299";"    4166";"   14696"
"53";"A018938";"A048265";"2018JJ00";"   188.0";"   175.3";"    12.7";"   216.5";"   175.3";"    41.2";"   16993";"   13757";"    3236";"   12740"
"54";"A018938";"A044273";"2001JJ00";"";"";"";"";"";"";"";"";"";""
"55";"A018938";"A044273";"2002JJ00";"";"";"";"";"";"";"";"";"";""
"56";"A018938";"A044273";"2003JJ00";"";"";"";"";"";"";"";"";"";""
"57";"A018938";"A044273";"2004JJ00";"";"";"";"";"";"";"";"";"";""
"58";"A018938";"A044273";"2005JJ00";"   445.2";"   376.1";"    69.1";"   794.8";"   376.1";"   418.7";"   59131";"   27980";"   31151";"   13441"
"59";"A018938";"A044273";"2006JJ00";"   769.6";"   641.3";"   128.3";"  1349.9";"   641.3";"   708.7";"  103874";"   49342";"   54531";"   12996"
"60";"A018938";"A044273";"2007JJ00";"   780.6";"   658.5";"   122.1";"  1288.6";"   658.5";"   630.1";"   99906";"   51057";"   48850";"   12898"
"61";"A018938";"A044273";"2008JJ00";"   766.8";"   664.9";"   101.9";"  1174.2";"   664.9";"   509.4";"   92473";"   52359";"   40113";"   12698"
"62";"A018938";"A044273";"2009JJ00";"   717.5";"   629.6";"    87.9";"  1053.8";"   629.6";"   424.2";"   84060";"   50220";"   33840";"   12536"
"63";"A018938";"A044273";"2010JJ00";"   675.0";"   595.7";"    79.4";"   966.9";"   595.7";"   371.3";"   79933";"   49241";"   30692";"   12097"
"64";"A018938";"A044273";"2011JJ00";"   605.5";"   546.3";"    59.2";"   837.8";"   546.3";"   291.5";"   74619";"   48659";"   25960";"   11228"
"65";"A018938";"A044273";"2012JJ00";"   513.4";"   470.3";"    43.1";"   672.3";"   470.3";"   202.0";"   66487";"   46511";"   19977";"   10111"
"66";"A018938";"A044273";"2013JJ00";"   380.6";"   348.0";"    32.6";"   506.3";"   348.0";"   158.3";"   58513";"   40219";"   18294";"    8652"
"67";"A018938";"A044273";"2014JJ00";"   290.2";"   267.4";"    22.8";"   372.8";"   267.4";"   105.4";"   52146";"   37398";"   14748";"    7149"
"68";"A018938";"A044273";"2015JJ00";"   218.6";"   203.1";"    15.5";"   265.6";"   203.1";"    62.5";"   44984";"   34396";"   10587";"    5905"
"69";"A018938";"A044273";"2016JJ00";"   165.2";"   151.8";"    13.4";"   197.9";"   151.8";"    46.2";"   40230";"   30845";"    9386";"    4920"
"70";"A018938";"A044273";"2017JJ00";"   121.8";"   111.7";"    10.1";"   144.4";"   111.7";"    32.7";"   33727";"   26099";"    7628";"    4281"
"71";"A018938";"A044273";"2018JJ00";"    86.1";"    79.7";"     6.4";"   100.6";"    79.7";"    20.9";"   27541";"   21823";"    5718";"    3653"
"72";"A018938";"A044274";"2001JJ00";"";"";"";"";"";"";"";"";"";""
"73";"A018938";"A044274";"2002JJ00";"";"";"";"";"";"";"";"";"";""
"74";"A018938";"A044274";"2003JJ00";"";"";"";"";"";"";"";"";"";""
"75";"A018938";"A044274";"2004JJ00";"";"";"";"";"";"";"";"";"";""
"76";"A018938";"A044274";"2005JJ00";"";"";"";"";"";"";"";"";"";""
"77";"A018938";"A044274";"2006JJ00";"   521.3";"   431.3";"    90.0";"   928.2";"   431.3";"   496.9";"   48639";"   22600";"   26039";"   19084"
"78";"A018938";"A044274";"2007JJ00";"  1059.5";"   868.4";"   191.1";"  1854.6";"   868.4";"   986.2";"  100641";"   47124";"   53517";"   18428"
"79";"A018938";"A044274";"2008JJ00";"  1103.7";"   938.9";"   164.8";"  1762.3";"   938.9";"   823.4";"   97047";"   51704";"   45342";"   18159"
"80";"A018938";"A044274";"2009JJ00";"  1083.4";"   943.6";"   139.8";"  1618.3";"   943.6";"   674.7";"   89514";"   52195";"   37319";"   18079"
"81";"A018938";"A044274";"2010JJ00";"  1092.2";"   960.0";"   132.2";"  1578.4";"   960.0";"   618.4";"   87853";"   53435";"   34418";"   17966"
"82";"A018938";"A044274";"2011JJ00";"  1025.1";"   910.0";"   115.1";"  1477.1";"   910.0";"   567.1";"   84932";"   52324";"   32608";"   17391"
"83";"A018938";"A044274";"2012JJ00";"   919.6";"   825.0";"    94.7";"  1268.5";"   825.0";"   443.5";"   77354";"   50309";"   27045";"   16398"
"84";"A018938";"A044274";"2013JJ00";"   743.4";"   666.4";"    77.0";"  1039.7";"   666.4";"   373.3";"   70647";"   45280";"   25367";"   14717"
"85";"A018938";"A044274";"2014JJ00";"   590.9";"   532.4";"    58.4";"   802.6";"   532.4";"   270.2";"   63172";"   41907";"   21265";"   12705"
"86";"A018938";"A044274";"2015JJ00";"   466.6";"   420.3";"    46.3";"   606.8";"   420.3";"   186.5";"   55713";"   38588";"   17125";"   10891"
"87";"A018938";"A044274";"2016JJ00";"   373.0";"   342.0";"    31.0";"   448.6";"   342.0";"   106.6";"   48951";"   37322";"   11629";"    9164"
"88";"A018938";"A044274";"2017JJ00";"   276.0";"   252.6";"    23.4";"   328.5";"   252.6";"    75.9";"   42343";"   32561";"    9782";"    7758"
"89";"A018938";"A044274";"2018JJ00";"   198.6";"   183.3";"    15.3";"   233.0";"   183.3";"    49.7";"   35043";"   27564";"    7480";"    6649"
"90";"A018938";"A044275";"2001JJ00";"";"";"";"";"";"";"";"";"";""
"91";"A018938";"A044275";"2002JJ00";"";"";"";"";"";"";"";"";"";""
"92";"A018938";"A044275";"2003JJ00";"";"";"";"";"";"";"";"";"";""
"93";"A018938";"A044275";"2004JJ00";"";"";"";"";"";"";"";"";"";""
"94";"A018938";"A044275";"2005JJ00";"";"";"";"";"";"";"";"";"";""
"95";"A018938";"A044275";"2006JJ00";"";"";"";"";"";"";"";"";"";""
"96";"A018938";"A044275";"2007JJ00";"   409.6";"   335.8";"    73.8";"   716.8";"   335.8";"   381.1";"   44194";"   20701";"   23493";"   16220"
"97";"A018938";"A044275";"2008JJ00";"   803.1";"   677.0";"   126.1";"  1307.3";"   677.0";"   630.3";"   89624";"   46413";"   43211";"   14586"
"98";"A018938";"A044275";"2009JJ00";"   825.8";"   714.8";"   111.0";"  1250.6";"   714.8";"   535.8";"   85916";"   49107";"   36809";"   14556"
"99";"A018938";"A044275";"2010JJ00";"   855.0";"   742.2";"   112.8";"  1270.1";"   742.2";"   527.9";"   85936";"   50219";"   35717";"   14779"
"100";"A018938";"A044275";"2011JJ00";"   845.5";"   740.1";"   105.4";"  1259.6";"   740.1";"   519.5";"   85302";"   50119";"   35184";"   14766"
"101";"A018938";"A044275";"2012JJ00";"   817.6";"   724.4";"    93.2";"  1160.8";"   724.4";"   436.4";"   79454";"   49585";"   29869";"   14610"
"102";"A018938";"A044275";"2013JJ00";"   734.3";"   659.6";"    74.7";"  1022.1";"   659.6";"   362.6";"   74331";"   47964";"   26367";"   13751"
"103";"A018938";"A044275";"2014JJ00";"   643.9";"   581.6";"    62.3";"   869.7";"   581.6";"   288.1";"   69161";"   46253";"   22908";"   12575"
"104";"A018938";"A044275";"2015JJ00";"   536.8";"   482.0";"    54.8";"   702.5";"   482.0";"   220.5";"   62010";"   42548";"   19463";"   11329"
"105";"A018938";"A044275";"2016JJ00";"   448.2";"   409.6";"    38.6";"   542.6";"   409.6";"   133.0";"   54147";"   40878";"   13269";"   10020"
"106";"A018938";"A044275";"2017JJ00";"   340.9";"   311.7";"    29.1";"   406.3";"   311.7";"    94.6";"   47498";"   36438";"   11060";"    8555"
"107";"A018938";"A044275";"2018JJ00";"   250.3";"   231.0";"    19.3";"   293.8";"   231.0";"    62.8";"   39677";"   31191";"    8486";"    7405"
"108";"A018938";"A044276";"2001JJ00";"";"";"";"";"";"";"";"";"";""
"109";"A018938";"A044276";"2002JJ00";"";"";"";"";"";"";"";"";"";""
"110";"A018938";"A044276";"2003JJ00";"";"";"";"";"";"";"";"";"";""
"111";"A018938";"A044276";"2004JJ00";"";"";"";"";"";"";"";"";"";""
"112";"A018938";"A044276";"2005JJ00";"";"";"";"";"";"";"";"";"";""
"113";"A018938";"A044276";"2006JJ00";"";"";"";"";"";"";"";"";"";""
"114";"A018938";"A044276";"2007JJ00";"";"";"";"";"";"";"";"";"";""
"115";"A018938";"A044276";"2008JJ00";"   533.1";"   448.0";"    85.1";"   873.0";"   448.0";"   425.0";"   47625";"   24440";"   23185";"   18331"
"116";"A018938";"A044276";"2009JJ00";"   980.5";"   843.3";"   137.1";"  1505.0";"   843.3";"   661.7";"   86636";"   48546";"   38090";"   17372"
"117";"A018938";"A044276";"2010JJ00";"  1077.7";"   948.2";"   129.5";"  1553.9";"   948.2";"   605.8";"   89632";"   54690";"   34942";"   17337"
"118";"A018938";"A044276";"2011JJ00";"  1045.7";"   923.2";"   122.5";"  1526.6";"   923.2";"   603.4";"   88357";"   53434";"   34923";"   17278"
"119";"A018938";"A044276";"2012JJ00";"  1021.8";"   911.0";"   110.8";"  1430.0";"   911.0";"   519.0";"   83785";"   53375";"   30410";"   17068"
"120";"A018938";"A044276";"2013JJ00";"   913.2";"   806.1";"   107.1";"  1325.4";"   806.1";"   519.3";"   79270";"   48213";"   31057";"   16720"
"121";"A018938";"A044276";"2014JJ00";"   840.4";"   750.2";"    90.2";"  1167.1";"   750.2";"   417.0";"   73724";"   47386";"   26338";"   15831"
"122";"A018938";"A044276";"2015JJ00";"   756.2";"   679.7";"    76.5";"   987.8";"   679.7";"   308.1";"   66820";"   45978";"   20841";"   14783"
"123";"A018938";"A044276";"2016JJ00";"   644.9";"   584.0";"    60.9";"   793.5";"   584.0";"   209.5";"   58953";"   43387";"   15566";"   13460"
"124";"A018938";"A044276";"2017JJ00";"   521.7";"   476.9";"    44.8";"   622.4";"   476.9";"   145.5";"   52049";"   39885";"   12164";"   11958"
"125";"A018938";"A044276";"2018JJ00";"   386.5";"   356.4";"    30.0";"   454.1";"   356.4";"    97.7";"   43255";"   33950";"    9305";"   10499"
"126";"A018938";"A044277";"2001JJ00";"";"";"";"";"";"";"";"";"";""
"127";"A018938";"A044277";"2002JJ00";"";"";"";"";"";"";"";"";"";""
"128";"A018938";"A044277";"2003JJ00";"";"";"";"";"";"";"";"";"";""
"129";"A018938";"A044277";"2004JJ00";"";"";"";"";"";"";"";"";"";""
"130";"A018938";"A044277";"2005JJ00";"";"";"";"";"";"";"";"";"";""
"131";"A018938";"A044277";"2006JJ00";"";"";"";"";"";"";"";"";"";""
"132";"A018938";"A044277";"2007JJ00";"";"";"";"";"";"";"";"";"";""
"133";"A018938";"A044277";"2008JJ00";"";"";"";"";"";"";"";"";"";""
"134";"A018938";"A044277";"2009JJ00";"   390.4";"   339.3";"    51.1";"   585.9";"   339.3";"   246.6";"   51564";"   29861";"   21703";"   11362"
"135";"A018938";"A044277";"2010JJ00";"   671.4";"   602.9";"    68.5";"   923.4";"   602.9";"   320.6";"   84145";"   54935";"   29210";"   10974"
"136";"A018938";"A044277";"2011JJ00";"   668.6";"   604.2";"    64.4";"   921.6";"   604.2";"   317.4";"   84188";"   55190";"   28998";"   10947"
"137";"A018938";"A044277";"2012JJ00";"   636.0";"   571.9";"    64.0";"   871.7";"   571.9";"   299.8";"   80411";"   52757";"   27654";"   10841"
"138";"A018938";"A044277";"2013JJ00";"   607.6";"   548.6";"    59.0";"   834.8";"   548.6";"   286.3";"   77163";"   50704";"   26459";"   10819"
"139";"A018938";"A044277";"2014JJ00";"   570.4";"   514.2";"    56.2";"   773.9";"   514.2";"   259.7";"   73780";"   49021";"   24759";"   10489"
"140";"A018938";"A044277";"2015JJ00";"   537.9";"   487.0";"    50.9";"   692.0";"   487.0";"   204.9";"   68968";"   48543";"   20424";"   10033"
"141";"A018938";"A044277";"2016JJ00";"   482.8";"   437.3";"    45.5";"   594.0";"   437.3";"   156.7";"   62144";"   45755";"   16389";"    9558"
"142";"A018938";"A044277";"2017JJ00";"   410.9";"   379.0";"    31.9";"   482.5";"   379.0";"   103.6";"   55273";"   43410";"   11863";"    8730"
"143";"A018938";"A044277";"2018JJ00";"   322.8";"   299.3";"    23.5";"   375.7";"   299.3";"    76.4";"   47629";"   37939";"    9690";"    7889"
"144";"A018938";"A044278";"2001JJ00";"";"";"";"";"";"";"";"";"";""
"145";"A018938";"A044278";"2002JJ00";"";"";"";"";"";"";"";"";"";""
"146";"A018938";"A044278";"2003JJ00";"";"";"";"";"";"";"";"";"";""
"147";"A018938";"A044278";"2004JJ00";"";"";"";"";"";"";"";"";"";""
"148";"A018938";"A044278";"2005JJ00";"";"";"";"";"";"";"";"";"";""
"149";"A018938";"A044278";"2006JJ00";"";"";"";"";"";"";"";"";"";""
"150";"A018938";"A044278";"2007JJ00";"";"";"";"";"";"";"";"";"";""
"151";"A018938";"A044278";"2008JJ00";"";"";"";"";"";"";"";"";"";""
"152";"A018938";"A044278";"2009JJ00";"";"";"";"";"";"";"";"";"";""
"153";"A018938";"A044278";"2010JJ00";"   308.1";"   274.3";"    33.8";"   432.2";"   274.3";"   157.9";"   45557";"   28915";"   16643";"    9488"
"154";"A018938";"A044278";"2011JJ00";"   562.8";"   502.0";"    60.9";"   802.0";"   502.0";"   300.0";"   89424";"   55972";"   33451";"    8968"
"155";"A018938";"A044278";"2012JJ00";"   553.3";"   492.8";"    60.6";"   776.5";"   492.8";"   283.7";"   86952";"   55182";"   31770";"    8930"
"156";"A018938";"A044278";"2013JJ00";"   530.4";"   473.5";"    56.9";"   749.6";"   473.5";"   276.1";"   84112";"   53127";"   30985";"    8912"
"157";"A018938";"A044278";"2014JJ00";"   509.0";"   451.7";"    57.3";"   716.8";"   451.7";"   265.1";"   80615";"   50798";"   29816";"    8892"
"158";"A018938";"A044278";"2015JJ00";"   508.2";"   458.9";"    49.3";"   657.3";"   458.9";"   198.5";"   75424";"   52653";"   22771";"    8715"
"159";"A018938";"A044278";"2016JJ00";"   469.7";"   423.6";"    46.1";"   582.2";"   423.6";"   158.5";"   69206";"   50358";"   18848";"    8412"
"160";"A018938";"A044278";"2017JJ00";"   406.3";"   366.5";"    39.8";"   495.6";"   366.5";"   129.2";"   62220";"   46006";"   16213";"    7966"
"161";"A018938";"A044278";"2018JJ00";"   320.2";"   290.0";"    30.1";"   388.0";"   290.0";"    97.9";"   53469";"   39972";"   13497";"    7256"
"162";"A018938";"A044279";"2001JJ00";"";"";"";"";"";"";"";"";"";""
"163";"A018938";"A044279";"2002JJ00";"";"";"";"";"";"";"";"";"";""
"164";"A018938";"A044279";"2003JJ00";"";"";"";"";"";"";"";"";"";""
"165";"A018938";"A044279";"2004JJ00";"";"";"";"";"";"";"";"";"";""
"166";"A018938";"A044279";"2005JJ00";"";"";"";"";"";"";"";"";"";""
"167";"A018938";"A044279";"2006JJ00";"";"";"";"";"";"";"";"";"";""
"168";"A018938";"A044279";"2007JJ00";"";"";"";"";"";"";"";"";"";""
"169";"A018938";"A044279";"2008JJ00";"";"";"";"";"";"";"";"";"";""
"170";"A018938";"A044279";"2009JJ00";"";"";"";"";"";"";"";"";"";""
"171";"A018938";"A044279";"2010JJ00";"";"";"";"";"";"";"";"";"";""
"172";"A018938";"A044279";"2011JJ00";"   399.3";"   350.1";"    49.1";"   592.2";"   350.1";"   242.1";"   47500";"   28085";"   19416";"   12467"
"173";"A018938";"A044279";"2012JJ00";"   723.5";"   634.6";"    89.0";"  1051.2";"   634.6";"   416.7";"   95126";"   57424";"   37703";"   11051"
"174";"A018938";"A044279";"2013JJ00";"   704.5";"   616.3";"    88.2";"  1044.0";"   616.3";"   427.7";"   94405";"   55733";"   38672";"   11059"
"175";"A018938";"A044279";"2014JJ00";"   701.3";"   617.3";"    83.9";"  1005.3";"   617.3";"   388.0";"   90940";"   55842";"   35098";"   11055"
"176";"A018938";"A044279";"2015JJ00";"   697.3";"   613.4";"    83.9";"   951.3";"   613.4";"   337.9";"   84108";"   54236";"   29872";"   11310"
"177";"A018938";"A044279";"2016JJ00";"   675.5";"   595.7";"    79.8";"   870.3";"   595.7";"   274.6";"   79472";"   54399";"   25073";"   10951"
"178";"A018938";"A044279";"2017JJ00";"   604.5";"   535.7";"    68.7";"   758.9";"   535.7";"   223.2";"   72391";"   51098";"   21293";"   10484"
"179";"A018938";"A044279";"2018JJ00";"   492.3";"   434.2";"    58.1";"   623.1";"   434.2";"   188.9";"   63578";"   44307";"   19271";"    9800"
"180";"A018938";"A044280";"2001JJ00";"";"";"";"";"";"";"";"";"";""
"181";"A018938";"A044280";"2002JJ00";"";"";"";"";"";"";"";"";"";""
"182";"A018938";"A044280";"2003JJ00";"";"";"";"";"";"";"";"";"";""
"183";"A018938";"A044280";"2004JJ00";"";"";"";"";"";"";"";"";"";""
"184";"A018938";"A044280";"2005JJ00";"";"";"";"";"";"";"";"";"";""
"185";"A018938";"A044280";"2006JJ00";"";"";"";"";"";"";"";"";"";""
"186";"A018938";"A044280";"2007JJ00";"";"";"";"";"";"";"";"";"";""
"187";"A018938";"A044280";"2008JJ00";"";"";"";"";"";"";"";"";"";""
"188";"A018938";"A044280";"2009JJ00";"";"";"";"";"";"";"";"";"";""
"189";"A018938";"A044280";"2010JJ00";"";"";"";"";"";"";"";"";"";""
"190";"A018938";"A044280";"2011JJ00";"";"";"";"";"";"";"";"";"";""
"191";"A018938";"A044280";"2012JJ00";"   370.8";"   322.3";"    48.5";"   549.3";"   322.3";"   227.0";"   47276";"   27741";"   19535";"   11618"
"192";"A018938";"A044280";"2013JJ00";"   689.5";"   595.1";"    94.4";"  1052.9";"   595.1";"   457.7";"   97307";"   55002";"   42305";"   10820"
"193";"A018938";"A044280";"2014JJ00";"   703.4";"   608.8";"    94.6";"  1046.3";"   608.8";"   437.5";"   97245";"   56581";"   40664";"   10759"
"194";"A018938";"A044280";"2015JJ00";"   726.1";"   632.7";"    93.5";"  1009.0";"   632.7";"   376.4";"   92074";"   57729";"   34345";"   10959"
"195";"A018938";"A044280";"2016JJ00";"   729.5";"   637.0";"    92.5";"   955.4";"   637.0";"   318.5";"   86369";"   57581";"   28788";"   11062"
"196";"A018938";"A044280";"2017JJ00";"   679.7";"   595.1";"    84.6";"   869.9";"   595.1";"   274.8";"   81376";"   55669";"   25707";"   10690"
"197";"A018938";"A044280";"2018JJ00";"   578.6";"   507.8";"    70.8";"   738.0";"   507.8";"   230.2";"   72341";"   49776";"   22565";"   10202"
"198";"A018938";"A044281";"2001JJ00";"";"";"";"";"";"";"";"";"";""
"199";"A018938";"A044281";"2002JJ00";"";"";"";"";"";"";"";"";"";""
"200";"A018938";"A044281";"2003JJ00";"";"";"";"";"";"";"";"";"";""
"201";"A018938";"A044281";"2004JJ00";"";"";"";"";"";"";"";"";"";""
"202";"A018938";"A044281";"2005JJ00";"";"";"";"";"";"";"";"";"";""
"203";"A018938";"A044281";"2006JJ00";"";"";"";"";"";"";"";"";"";""
"204";"A018938";"A044281";"2007JJ00";"";"";"";"";"";"";"";"";"";""
"205";"A018938";"A044281";"2008JJ00";"";"";"";"";"";"";"";"";"";""
